name,category,evolution_stage,rarity,description,image_url
Sabrina's Abra - Wizards Black Star Promos,Psychic,1,Promo,"Attack (Colorless) - Pound: 10 damage. 

Attack (Psychic + Colorless) - Synchronize: 40 damage. This attack can't be used unless Sabrina's Abra and the Defending Pokémon have the same number of Energy cards attached to them.

Evolves into: Kadabra",https://images.pokemontcg.io/basep/19.png
Psyduck - Wizards Black Star Promos,Water,1,Promo,"Attack (Psychic) - Headache: Your opponent can't play Trainer cards during his or her next turn.

Attack (Water) - Fury Swipes: 10× damage. Flip 3 coins. This attack does 10 damage times the number of heads.

Evolves into: Golduck

Flavor: While lulling its enemies with its vacant look, this wily Pokémon will use psychokinetic powers.",https://images.pokemontcg.io/basep/20.png
Moltres - Wizards Black Star Promos,Fire,1,Promo,"Attack (Fire + Fire + Fire) - Hyper Flame: 60 damage. Flip a coin. If heads, discard 1 Fire Energy card attached to Moltres. If tails, discard all Energy cards attached to Moltres. If you can't discard Energy cards, this attack does nothing.

Flavor: The flames on this legendary Pokémon's wings burn so brightly that they can make night seem like day.",https://images.pokemontcg.io/basep/21.png
Articuno - Wizards Black Star Promos,Water,1,Promo,"Attack (Water + Water + Water) - Diamond Dust: 20 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: This legendary Pokémon is said to freeze the water in the air during winter, causing snow.",https://images.pokemontcg.io/basep/22.png
Zapdos - Wizards Black Star Promos,Lightning,1,Promo,"Attack (Lightning + Lightning + Lightning) - Lightning Burn: 30 damage. Flip a coin. If heads, and if your opponent has any Benched Pokémon, choose 1 of them. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) If tails, Zapdos does 30 damage to itself.

Flavor: This legendary Pokémon is said to be present wherever there is a lightning storm.",https://images.pokemontcg.io/basep/23.png
_____'s Pikachu - Wizards Black Star Promos,Lightning,1,Promo,"Attack (Lightning + Lightning) - Birthday Surprise: 30+ damage. If it's not your birthday, this attack does 30 damage. If it is your birthday, flip a coin. If heads, this attack does 30 damage plus 50 more damage; if tails, this attack does 30 damage.

Evolves into: Raichu

Flavor: Your Birthdate: ______________________________",https://images.pokemontcg.io/basep/24.png
Flying Pikachu - Wizards Black Star Promos,Lightning,1,Promo,"Attack (Lightning) - Thundershock: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Colorless + Colorless + Colorless) - Fly: 30 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Flying Pikachu; if tails, this attack does nothing (not even damage).

Evolves into: Raichu

Flavor: By learning how to fly, Pikachu overcame its weakness to Fighting Pokémon.",https://images.pokemontcg.io/basep/25.png
Pikachu - Wizards Black Star Promos,Lightning,1,Promo,"Attack (Colorless) - Scratch: 10 damage. 

Attack (Lightning + Lightning) - Thunderbolt: 40 damage. Discard all Energy cards attached to Pikachu.

Evolves into: Raichu

Flavor: It uses its sensitive tail to sense its environment and has been known to react violently if its tail is grabbed.",https://images.pokemontcg.io/basep/26.png
Pikachu - Wizards Black Star Promos,Lightning,1,Promo,"Attack (Lightning) - Thundershock: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Lightning + Lightning) - Agility: 20 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Pikachu.

Evolves into: Raichu

Flavor: When several of these Pokémon gather, their electricity can cause lightning storms.",https://images.pokemontcg.io/basep/27.png
Surfing Pikachu - Wizards Black Star Promos,Lightning,1,Promo,"Attack (Water + Water) - Surf: 30 damage. 

Evolves into: Raichu

Flavor: One summer, a group of Pikachus was found riding the waves at the local beach.",https://images.pokemontcg.io/basep/28.png
Marill - Wizards Black Star Promos,Water,1,Promo,"Attack (Water + Water) - Water Gun: 20+ damage. Does 20 damage plus 10 more damage for each Energy attached to Marill but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.

Evolves into: Azumarill

Flavor: The tip of its tail, which contains oil that is lighter than water, lets it swim without drowning.",https://images.pokemontcg.io/basep/29.png
Togepi - Wizards Black Star Promos,Colorless,1,Promo,"Attack (Colorless) - Snivel: If the Defending Pokémon attacks Togepi during your opponent's next turn, any damage done to Togepi is reduced by 20 (before applying Weakness and Resistance). (Benching either Pokémon ends this effect.)

Attack (Colorless + Colorless) - Mini-Metronome: Flip a coin. If heads, choose 1 of the Defending Pokémon's attacks. Mini-Metronome copies that attack except for its Energy cost. (You must still do anything else in order to use that attack.) (No matter what type the Defending Pokémon is, Togepi's type is still Colorless.) Togepi performs that attack.

Evolves into: Togetic

Flavor: Still only a hatchling, it uses poison to chase off its enemies when threatened.",https://images.pokemontcg.io/basep/30.png
Cleffa - Wizards Black Star Promos,Colorless,1,Promo,"Evolves from: Clefairy

Attack (Colorless) - Eek: Draw 2 cards.

Evolves into: Clefairy

Flavor: Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",https://images.pokemontcg.io/basep/31.png
Smeargle - Wizards Black Star Promos,Colorless,1,Promo,"Attack (Colorless) - Paint: Flip a coin. If heads, choose a type (other than Colorless) and put a Coloring counter on the Defending Pokémon. That Pokémon is now the type you chose. If it already had a Coloring counter, remove the old one. If tails, this attack does nothing.

Flavor: Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back.",https://images.pokemontcg.io/basep/32.png
Scizor - Wizards Black Star Promos,Metal,2,Promo,"Evolves from: Scyther

Attack (Colorless) - Leer: Flip a coin. If heads, the Defending Pokémon can't attack Scizor during your opponent's next turn. (Benching either Pokémon ends this effect.)

Attack (Metal + Colorless + Colorless) - Metal Pincer: 30+ damage. Flip a coin until you get tails. This attack does 30 damage plus 10 more damage for each heads.

Flavor: Its wings are not used for flying. They are flapped at high speed to adjust its body temperature.",https://images.pokemontcg.io/basep/33.png
Entei - Wizards Black Star Promos,Fire,1,Promo,"Ability (Pokémon Power) - Bolt: Whenever your opponent's attack damages Entei, unless that attack Knocks Out Entei, flip a coin. If heads, shuffle Entei and all cards attached to it into your deck. This power can't be used if Entei is already Asleep, Confused, or Paralyzed when it is damaged.

Attack (Fire + Fire + Fire) - Protective Flame: 50 damage. During your opponent's next turn, prevent all effects of attacks, including damage, done to your Benched Pokémon.

Flavor: Volcanoes erupt when it barks. Unable to restrain its extreme power, it races headlong around the land.",https://images.pokemontcg.io/basep/34.png
Pichu - Wizards Black Star Promos,Lightning,1,Promo,"Evolves from: Pikachu

Attack (Colorless) - Let's Play!: Search your deck for a Baby Pokémon card and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.)

Evolves into: Pikachu

Flavor: It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.",https://images.pokemontcg.io/basep/35.png
Igglybuff - Wizards Black Star Promos,Colorless,1,Promo,"Evolves from: Jigglypuff

Attack (Colorless) - Good Night Song: The Defending Pokémon is now Asleep.

Evolves into: Jigglypuff

Flavor: Its extremely flexible and elastic body makes it bounce continuously—anytime, anywhere.",https://images.pokemontcg.io/basep/36.png
Hitmontop - Wizards Black Star Promos,Fighting,1,Promo,"Attack (Fighting + Fighting) - Repeating Kick: 20× damage. Flip a coin until you get tails. This attack does 20 damage times the number of heads.

Attack (Fighting + Fighting + Colorless) - Rapid Spin: 30 damage. If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. (Do the damage before switching the Pokémon.)

Flavor: It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",https://images.pokemontcg.io/basep/37.png
Unown [J] - Wizards Black Star Promos,Psychic,1,Promo,"Ability (Pokémon Power) - [Join]: Once during your turn (before your attack), if you have Unown [J], Unown [O], Unown [I], and Unown Dragon on your Bench, you may search your deck for a Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.

Attack (Psychic) - Hidden Power: 10 damage. 

Flavor: Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.",https://images.pokemontcg.io/basep/38.png
Misdreavus - Wizards Black Star Promos,Psychic,1,Promo,"Attack (Psychic) - Pain Split: Put 1 damage counter on the Defending Pokémon for each damage counter on Misdreavus.

Attack (Psychic + Psychic) - Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Confused.

Evolves into: Mismagius

Flavor: It loves to bite and yank people's hair from behind without warning, just to see their shocked reactions.",https://images.pokemontcg.io/basep/39.png
Machamp - Wizards Black Star Promos,Fighting,3,Promo,"Evolves from: Machoke

Attack (Fighting + Fighting) - Seething Anger: 20+ damage. Flip a number of coins equal to the number of damage counters on Machamp. This attack does 20 damage plus 10 more damage for each heads.

Attack (Fighting + Fighting + Colorless + Colorless) - Fling: 50 damage. If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)

Flavor: Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon.",https://images.pokemontcg.io/basep/43.png
Magmar - Wizards Black Star Promos,Fire,1,Promo,"Attack (Fire) - Burning Fire: 10+ damage. When you use this attack, you may discard any number of Fire Energy cards attached to your Pokémon in play. This attack does 10 damage plus 10 more damage for each Fire Energy card you discarded in this way.

Attack (Fire + Fire + Colorless) - Magma Punch: 40 damage. 

Evolves into: Magmortar

Flavor: Its body always burns with an orange glow that enables it to hide perfectly among flames.",https://images.pokemontcg.io/basep/44.png
Scyther - Wizards Black Star Promos,Grass,1,Promo,"Attack (Grass + Grass) - Slashing Strike: 40 damage. Scyther can't use this attack during your next turn. (Benching or evolving Scyther ends this effect.)

Evolves into: Scizor

Flavor: With ninja-like agility and speed, it can create the illusion that there is more than one.",https://images.pokemontcg.io/basep/45.png
Electabuzz - Wizards Black Star Promos,Lightning,1,Promo,"Attack (Lightning) - Lightning Rod: Choose 1 of your opponent's Pokémon and put a Lightning Rod marker on it. (A Pokémon can have only 1 Lightning Rod marker on it at a time.)

Attack (Lightning + Lightning) - Lightning Bolt: 10 damage. This attack does 20 damage to any Pokémon with a Lightning Rod marker on it. Apply Weakness and Resistance.

Evolves into: Electivire

Flavor: Normally found near power plants, it can wander away and cause major blackouts in cities.",https://images.pokemontcg.io/basep/46.png
Mew - Wizards Black Star Promos,Psychic,1,Promo,"Ability (Pokémon Power) - Neutral Shield: Prevent all effects of attacks, including damage, done to Mew by Evolved Pokémon. You can't use this power if Mew is Asleep, Confused, or Paralyzed.

Attack (Psychic) - Psyshock: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Confused.

Flavor: So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.",https://images.pokemontcg.io/basep/47.png
Articuno - Wizards Black Star Promos,Water,1,Promo,"Ability (Pokémon Power) - Aurora Veil: As long as Articuno is your Active Pokémon, your Benched Pokémon do not take damage from and are not affected by attacks. This power cannot be used if Articuno is affected by a Special Condition.

Attack (Water + Water + Colorless + Colorless) - Ice Beam: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Flavor: A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.",https://images.pokemontcg.io/basep/48.png
Snorlax - Wizards Black Star Promos,Colorless,1,Promo,"Ability (Pokémon Power) - Guard: As long as Snorlax is your Active Pokémon, the Defending Pokémon can't Retreat. This power stops working when Snorlax is affected by a Special Condition.

Attack (Colorless + Colorless + Colorless + Colorless) - Roll Over: 30 damage. Snorlax is now Asleep. Flip a coin. If heads, the Defending Pokémon is now Asleep.

Flavor: Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",https://images.pokemontcg.io/basep/49.png
Celebi - Wizards Black Star Promos,Grass,1,Promo,Attack (Grass + Colorless) - Leaf Slice: 20× damage. Flip 2 coins. This attack does 20 damage times the number of heads.,https://images.pokemontcg.io/basep/50.png
Rapidash - Wizards Black Star Promos,Fire,2,Promo,"Evolves from: Ponyta

Attack (Colorless + Colorless) - Jump Over: If your opponent has any Benched Pokémon, choose 1 of them. Flip a coin. If heads, this attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)

Attack (Fire + Colorless + Colorless) - Super Singe: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Burned.",https://images.pokemontcg.io/basep/51.png
Ho-oh - Wizards Black Star Promos,Fire,1,Promo,"Attack (Fire + Fire + Colorless + Colorless) - Sacred Wing: 60 damage. Flip a coin. If tails, this attack's base damage is 20 instead of 60.",https://images.pokemontcg.io/basep/52.png
Suicune - Wizards Black Star Promos,Water,1,Promo,"Ability - Pure Body: To attach a Water Energy card from your hand to Suicune, you must discard an Energy card attached to Suicune. (Attach the Water Energy, and then discard an Energy card from Suicune.)

Attack (Water + Colorless + Colorless) - Hypno Wave: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 20 more damage. If tails, this attack does 30 damage and the Defending Pokémon is now Asleep.",https://images.pokemontcg.io/basep/53.png
Aerodactyl - Fossil,Fighting,2,Rare Holo,"Evolves from: Mysterious Fossil

Ability (Pokémon Power) - Prehistoric Power: No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.

Attack (Colorless + Colorless + Colorless) - Wing Attack: 30 damage. 

Flavor: A ferocious prehistoric Pokémon that goes for the enemy's throat with its serrated saw-like fangs.",https://images.pokemontcg.io/base3/1.png
Articuno - Fossil,Water,1,Rare Holo,"Attack (Water + Water + Water) - Freeze Dry: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Water + Water + Water + Water) - Blizzard: 50 damage. Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.",https://images.pokemontcg.io/base3/2.png
Ditto - Fossil,Colorless,1,Rare Holo,"Ability (Pokémon Power) - Transform: If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed.

Flavor: Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.",https://images.pokemontcg.io/base3/3.png
Dragonite - Fossil,Colorless,3,Rare Holo,"Evolves from: Dragonair

Ability (Pokémon Power) - Step In: Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon.

Attack (Colorless + Colorless + Colorless + Colorless) - Slam: 40× damage. Flip 2 coins. This attack does 40 damage times the number of heads.

Flavor: An extremely rarely seen marine Pokémon. Its intelligence is said to match that of humans.",https://images.pokemontcg.io/base3/4.png
Gengar - Fossil,Psychic,3,Rare Holo,"Evolves from: Haunter

Ability (Pokémon Power) - Curse: Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed.

Attack (Psychic + Psychic + Psychic) - Dark Mind: 30 damage. If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: Under a full moon, this Pokémon likes to mimic the shadows of people and laugh at their fright.",https://images.pokemontcg.io/base3/5.png
Haunter - Fossil,Psychic,2,Rare Holo,"Evolves from: Gastly

Ability (Pokémon Power) - Transparency: Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.

Attack (Psychic + Colorless) - Nightmare: 10 damage. The Defending Pokémon is now Asleep.

Evolves into: Gengar

Flavor: Because of its ability to slip through block walls, it is said to be from another dimension.",https://images.pokemontcg.io/base3/6.png
Hitmonlee - Fossil,Fighting,1,Rare Holo,"Attack (Fighting + Fighting) - Stretch Kick: If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)

Attack (Fighting + Fighting + Fighting) - High Jump Kick: 50 damage. 

Flavor: When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",https://images.pokemontcg.io/base3/7.png
Hypno - Fossil,Psychic,2,Rare Holo,"Evolves from: Drowzee

Attack (Psychic) - Prophecy: Look at up to 3 cards from the top of either player's deck and rearrange them as you like.

Attack (Psychic + Psychic + Psychic) - Dark Mind: 30 damage. If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: When it locks eyes with an enemy, it will use a mix of psi moves such as Hypnosis and Confusion.",https://images.pokemontcg.io/base3/8.png
Kabutops - Fossil,Fighting,3,Rare Holo,"Evolves from: Kabuto

Attack (Fighting + Fighting) - Sharp Sickle: 30 damage. 

Attack (Fighting + Fighting + Fighting + Fighting) - Absorb: 40 damage. Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.

Flavor: Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.",https://images.pokemontcg.io/base3/9.png
Lapras - Fossil,Water,1,Rare Holo,"Attack (Water) - Water Gun: 10+ damage. Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.

Attack (Water + Water) - Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Confused.

Flavor: A Pokémon that has been overhunted almost to extinction. It can ferry people across water.",https://images.pokemontcg.io/base3/10.png
Magneton - Fossil,Lightning,2,Rare Holo,"Evolves from: Magnemite

Attack (Lightning + Colorless) - Sonicboom: 20 damage. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)

Attack (Lightning + Lightning + Lightning + Lightning) - Selfdestruct: 100 damage. Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 100 damage to itself.

Evolves into: Magnezone

Flavor: Formed by several Magnemites linked together. They frequently appear when sunspots flare up.",https://images.pokemontcg.io/base3/11.png
Moltres - Fossil,Fire,1,Rare Holo,"Attack (Fire) - Wildfire: You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.

Attack (Fire + Fire + Fire + Fire) - Dive Bomb: 80 damage. Flip a coin. If tails, this attack does nothing.

Flavor: Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.",https://images.pokemontcg.io/base3/12.png
Muk - Fossil,Grass,2,Rare Holo,"Evolves from: Grimer

Ability (Pokémon Power) - Toxic Gas: Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is Asleep, Confused, or Paralyzed.

Attack (Grass + Grass + Grass) - Sludge: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Poisoned.

Flavor: Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",https://images.pokemontcg.io/base3/13.png
Raichu - Fossil,Lightning,2,Rare Holo,"Evolves from: Pikachu

Attack (Lightning + Lightning + Lightning + Lightning) - Gigashock: 30 damage. Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) If your opponent has fewer than 3 Benched Pokémon, do the damage to each of them.

Flavor: Its long tail serves as a ground to protect itself from its own high-voltage power.",https://images.pokemontcg.io/base3/14.png
Zapdos - Fossil,Lightning,1,Rare Holo,"Attack (Lightning + Lightning + Lightning + Lightning) - Thunderstorm: 40 damage. For each of your opponent's Benched Pokémon, flip a coin. If heads, this attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Then, Zapdos does 10 damage times the number of tails to itself.

Flavor: A legendary thunderbird Pokémon whose anger is said to cause storms. Some say it has lived above the clouds for thousands of years.",https://images.pokemontcg.io/base3/15.png
Aerodactyl - Fossil,Fighting,2,Rare,"Evolves from: Mysterious Fossil

Ability (Pokémon Power) - Prehistoric Power: No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.

Attack (Colorless + Colorless + Colorless) - Wing Attack: 30 damage. 

Flavor: A ferocious prehistoric Pokémon that goes for the enemy's throat with its serrated saw-like fangs.",https://images.pokemontcg.io/base3/16.png
Articuno - Fossil,Water,1,Rare,"Attack (Water + Water + Water) - Freeze Dry: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Water + Water + Water + Water) - Blizzard: 50 damage. Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.",https://images.pokemontcg.io/base3/17.png
Ditto - Fossil,Colorless,1,Rare,"Ability (Pokémon Power) - Transform: If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed.

Flavor: Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.",https://images.pokemontcg.io/base3/18.png
Dragonite - Fossil,Colorless,3,Rare,"Evolves from: Dragonair

Ability (Pokémon Power) - Step In: Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon.

Attack (Colorless + Colorless + Colorless + Colorless) - Slam: 40× damage. Flip 2 coins. This attack does 40 damage times the number of heads.

Flavor: An extremely rarely seen marine Pokémon. Its intelligence is said to match that of humans.",https://images.pokemontcg.io/base3/19.png
Gengar - Fossil,Psychic,3,Rare,"Evolves from: Haunter

Ability (Pokémon Power) - Curse: Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed.

Attack (Psychic + Psychic + Psychic) - Dark Mind: 30 damage. If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: Under a full moon, this Pokémon likes to mimic the shadows of people and laugh at their fright.",https://images.pokemontcg.io/base3/20.png
Haunter - Fossil,Psychic,2,Rare,"Evolves from: Gastly

Ability (Pokémon Power) - Transparency: Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.

Attack (Psychic + Colorless) - Nightmare: 10 damage. The Defending Pokémon is now Asleep.

Evolves into: Gengar

Flavor: Because of its ability to slip through block walls, it is said to be from another dimension.",https://images.pokemontcg.io/base3/21.png
Hitmonlee - Fossil,Fighting,1,Rare,"Attack (Fighting + Fighting) - Stretch Kick: If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)

Attack (Fighting + Fighting + Fighting) - High Jump Kick: 50 damage. 

Flavor: When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",https://images.pokemontcg.io/base3/22.png
Hypno - Fossil,Psychic,2,Rare,"Evolves from: Drowzee

Attack (Psychic) - Prophecy: Look at up to 3 cards from the top of either player's deck and rearrange them as you like.

Attack (Psychic + Psychic + Psychic) - Dark Mind: 30 damage. If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: When it locks eyes with an enemy, it will use a mix of psi moves such as Hypnosis and Confusion.",https://images.pokemontcg.io/base3/23.png
Kabutops - Fossil,Fighting,3,Rare,"Evolves from: Kabuto

Attack (Fighting + Fighting) - Sharp Sickle: 30 damage. 

Attack (Fighting + Fighting + Fighting + Fighting) - Absorb: 40 damage. Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.

Flavor: Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids. ",https://images.pokemontcg.io/base3/24.png
Lapras - Fossil,Water,1,Rare,"Attack (Water) - Water Gun: 10+ damage. Does 10 damage plus 10 more damage for each Water Energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.

Attack (Water + Water) - Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Confused.

Flavor: A Pokémon that has been overhunted almost to extinction. It can ferry people across water.",https://images.pokemontcg.io/base3/25.png
Magneton - Fossil,Lightning,2,Rare,"Evolves from: Magnemite

Attack (Lightning + Colorless) - Sonicboom: 20 damage. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)

Attack (Lightning + Lightning + Lightning + Lightning) - Selfdestruct: 100 damage. Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 100 damage to itself.

Evolves into: Magnezone

Flavor: Formed by several Magnemites linked together. They frequently appear when sunspots flare up.",https://images.pokemontcg.io/base3/26.png
Moltres - Fossil,Fire,1,Rare,"Attack (Fire) - Wildfire: You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.

Attack (Fire + Fire + Fire + Fire) - Dive Bomb: 80 damage. Flip a coin. If tails, this attack does nothing.

Flavor: Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.",https://images.pokemontcg.io/base3/27.png
Muk - Fossil,Grass,2,Rare,"Evolves from: Grimer

Ability (Pokémon Power) - Toxic Gas: Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is Asleep, Confused, or Paralyzed.

Attack (Grass + Grass + Grass) - Sludge: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Poisoned.

Flavor: Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",https://images.pokemontcg.io/base3/28.png
Raichu - Fossil,Lightning,2,Rare,"Evolves from: Pikachu

Attack (Lightning + Lightning + Lightning + Lightning) - Gigashock: 30 damage. Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) If your opponent has fewer than 3 Benched Pokémon, do that damage to each of them.

Flavor: Its long tail serves as a ground to protect itself from its own high voltage power.",https://images.pokemontcg.io/base3/29.png
Zapdos - Fossil,Lightning,1,Rare,"Attack (Lightning + Lightning + Lightning + Lightning) - Thunderstorm: 40 damage. For each of your opponent's Benched Pokémon, flip a coin. If heads, this attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Then, Zapdos does 10 damage times the number of tails to itself.

Flavor: A legendary thunderbird Pokémon whose anger is said to cause storms. Some say it has lived above the clouds for thousands of years.",https://images.pokemontcg.io/base3/30.png
Arbok - Fossil,Grass,2,Uncommon,"Evolves from: Ekans

Attack (Grass) - Terror Strike: 10 damage. Flip a coin. If heads and if your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)

Attack (Grass + Grass + Colorless) - Poison Fang: 20 damage. The Defending Pokémon is now Poisoned.

Flavor: It is rumored that the ferocious warning markings on its belly differ from area to area.",https://images.pokemontcg.io/base3/31.png
Cloyster - Fossil,Water,2,Uncommon,"Evolves from: Shellder

Attack (Water + Water) - Clamp: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing (not even damage).

Attack (Water + Water) - Spike Cannon: 30× damage. Flip 2 coins. This attack does 30 damage times the number of heads.

Flavor: When attacked, it launches its horns in quick volleys. Its innards have never been seen.",https://images.pokemontcg.io/base3/32.png
